plot_id,var,rep,nitrogen,appl,timeid
1,Apertus,1,220,Split,Early
2,Patras,1,220,Split,Late
3,Torrild,1,220,Combined,Early
4,Patras,1,220,Combined,Late
5,Apertus,1,220,Combined,Late
6,Apertus,1,220,Combined,Early
7,Alves,1,220,Split,Late
8,Torrild,1,220,Split,Early
9,Esket,1,220,Split,Early
10,Torrild,1,220,Split,Late
11,Capone,1,220,Combined,Early
12,Esket,1,220,Combined,Late
13,Capone,1,220,Combined,Late
14,Pionier,1,220,Combined,Early
15,Capone,1,220,Split,Late
16,Pionier,1,220,Split,Early
17,Patras,1,220,Split,Early
18,Pionier,1,220,Split,Late
19,Esket,1,220,Combined,Early
20,Pionier,1,220,Combined,Late
21,Torrild,1,220,Combined,Late
22,Patras,1,220,Combined,Early
23,Apertus,1,220,Split,Late
24,Capone,1,220,Split,Early
25,Potenzial,1,220,Split,Early
26,Esket,1,220,Split,Late
27,Alves,1,220,Combined,Early
28,Potenzial,1,220,Combined,Late
29,Alves,1,220,Combined,Late
30,Potenzial,1,220,Combined,Early
31,Potenzial,1,220,Split,Late
32,Alves,1,220,Split,Early
33,Alves,1,176,Split,Early
34,Esket,1,176,Split,Late
35,Potenzial,1,176,Combined,Early
36,Capone,1,176,Combined,Late
37,Pionier,1,176,Combined,Late
38,Capone,1,176,Combined,Early
39,Apertus,1,176,Split,Late
40,Potenzial,1,176,Split,Early
41,Apertus,1,176,Split,Early
42,Potenzial,1,176,Split,Late
43,Patras,1,176,Combined,Early
44,Apertus,1,176,Combined,Late
45,Esket,1,176,Combined,Late
46,Apertus,1,176,Combined,Early
47,Pionier,1,176,Split,Late
48,Patras,1,176,Split,Early
49,Torrild,1,176,Split,Early
50,Patras,1,176,Split,Late
51,Alves,1,176,Combined,Early
52,Patras,1,176,Combined,Late
53,Alves,1,176,Combined,Late
54,Pionier,1,176,Combined,Early
55,Torrild,1,176,Split,Late
56,Esket,1,176,Split,Early
57,Capone,1,176,Split,Early
58,Alves,1,176,Split,Late
59,Esket,1,176,Combined,Early
60,Potenzial,1,176,Combined,Late
61,Torrild,1,176,Combined,Late
62,Torrild,1,176,Combined,Early
63,Capone,1,176,Split,Late
64,Pionier,1,176,Split,Early
65,Torrild,2,176,Combined,Early
66,Pionier,2,176,Combined,Late
67,Apertus,2,176,Split,Late
68,Potenzial,2,176,Split,Early
69,Capone,2,176,Split,Early
70,Torrild,2,176,Split,Late
71,Alves,2,176,Combined,Late
72,Pionier,2,176,Combined,Early
73,Patras,2,176,Combined,Early
74,Apertus,2,176,Combined,Late
75,Capone,2,176,Split,Late
76,Torrild,2,176,Split,Early
77,Esket,2,176,Split,Early
78,Alves,2,176,Split,Late
79,Capone,2,176,Combined,Late
80,Esket,2,176,Combined,Early
81,Capone,2,176,Combined,Early
82,Torrild,2,176,Combined,Late
83,Patras,2,176,Split,Late
84,Apertus,2,176,Split,Early
85,Patras,2,176,Split,Early
86,Pionier,2,176,Split,Late
87,Patras,2,176,Combined,Late
88,Alves,2,176,Combined,Early
89,Apertus,2,176,Combined,Early
90,Potenzial,2,176,Combined,Late
91,Potenzial,2,176,Split,Late
92,Alves,2,176,Split,Early
93,Pionier,2,176,Split,Early
94,Esket,2,176,Split,Late
95,Esket,2,176,Combined,Late
96,Potenzial,2,176,Combined,Early
97,Pionier,2,220,Combined,Late
98,Capone,2,220,Combined,Early
99,Capone,2,220,Split,Early
100,Patras,2,220,Split,Late
101,Apertus,2,220,Split,Late
102,Patras,2,220,Split,Early
103,Torrild,2,220,Combined,Early
104,Patras,2,220,Combined,Late
105,Torrild,2,220,Combined,Late
106,Apertus,2,220,Combined,Early
107,Apertus,2,220,Split,Early
108,Pionier,2,220,Split,Late
109,Esket,2,220,Split,Late
110,Potenzial,2,220,Split,Early
111,Alves,2,220,Combined,Early
112,Esket,2,220,Combined,Late
113,Potenzial,2,220,Combined,Late
114,Patras,2,220,Combined,Early
115,Torrild,2,220,Split,Early
116,Capone,2,220,Split,Late
117,Alves,2,220,Split,Late
118,Pionier,2,220,Split,Early
119,Esket,2,220,Combined,Early
120,Capone,2,220,Combined,Late
121,Alves,2,220,Combined,Late
122,Potenzial,2,220,Combined,Early
123,Esket,2,220,Split,Early
124,Torrild,2,220,Split,Late
125,Potenzial,2,220,Split,Late
126,Alves,2,220,Split,Early
127,Pionier,2,220,Combined,Early
128,Apertus,2,220,Combined,Late
129,Pionier,3,176,Combined,Late
130,Esket,3,176,Combined,Early
131,Pionier,3,176,Split,Early
132,Potenzial,3,176,Split,Late
133,Alves,3,176,Split,Late
134,Esket,3,176,Split,Early
135,Alves,3,176,Combined,Early
136,Patras,3,176,Combined,Late
137,Alves,3,176,Combined,Late
138,Torrild,3,176,Combined,Early
139,Apertus,3,176,Split,Early
140,Capone,3,176,Split,Late
141,Patras,3,176,Split,Late
142,Torrild,3,176,Split,Early
143,Patras,3,176,Combined,Early
144,Esket,3,176,Combined,Late
145,Apertus,3,176,Combined,Late
146,Apertus,3,176,Combined,Early
147,Potenzial,3,176,Split,Early
148,Torrild,3,176,Split,Late
149,Pionier,3,176,Split,Late
150,Capone,3,176,Split,Early
151,Potenzial,3,176,Combined,Early
152,Torrild,3,176,Combined,Late
153,Potenzial,3,176,Combined,Late
154,Pionier,3,176,Combined,Early
155,Patras,3,176,Split,Early
156,Esket,3,176,Split,Late
157,Apertus,3,176,Split,Late
158,Alves,3,176,Split,Early
159,Capone,3,176,Combined,Early
160,Capone,3,176,Combined,Late
161,Alves,3,220,Split,Early
162,Apertus,3,220,Split,Late
163,Capone,3,220,Combined,Late
164,Alves,3,220,Combined,Early
165,Potenzial,3,220,Combined,Early
166,Esket,3,220,Combined,Late
167,Pionier,3,220,Split,Late
168,Apertus,3,220,Split,Early
169,Pionier,3,220,Split,Early
170,Potenzial,3,220,Split,Late
171,Alves,3,220,Combined,Late
172,Patras,3,220,Combined,Early
173,Apertus,3,220,Combined,Early
174,Potenzial,3,220,Combined,Late
175,Capone,3,220,Split,Late
176,Capone,3,220,Split,Early
177,Patras,3,220,Split,Early
178,Esket,3,220,Split,Late
179,Patras,3,220,Combined,Late
180,Esket,3,220,Combined,Early
181,Torrild,3,220,Combined,Early
182,Torrild,3,220,Combined,Late
183,Patras,3,220,Split,Late
184,Torrild,3,220,Split,Early
185,Potenzial,3,220,Split,Early
186,Torrild,3,220,Split,Late
187,Apertus,3,220,Combined,Late
188,Capone,3,220,Combined,Early
189,Pionier,3,220,Combined,Early
190,Pionier,3,220,Combined,Late
191,Alves,3,220,Split,Late
192,Esket,3,220,Split,Early
