"DFG_year","timeid","var","nitrogen","appl","GLA50","S","TT59","TT55","TT61","GCD59","GCD61","GCD55","LAImax59","LAImaxTT59","LAImax61","LAImaxTT61","LAImax55","LAImaxTT55","TT87","LAD59","LAD61","LAD55","GCD87"
"DFG2019","Early","Apertus","176","Combined",2203.09039853041,119.61848423626,1759.96764086436,1658.67478916933,1781.2125,443.122757666047,421.877898530412,544.41560936108,4.93,1642.52916666667,6.77,1781.2125,4.93,1642.52916666667,2532.5,2185.84391216981,2857.82814247076,2685.21767052093,329.409601469588
"DFG2019","Early","Apertus","176","Split",2203.09166080366,250,1768.42526320132,1667.75131901354,1781.2125,434.666397602346,421.879160803663,535.340341790126,5.81,1642.52916666667,6.38,1781.2125,5.81,1642.52916666667,2532.5,2525.74865777242,2691.95898455973,3110.66427351884,329.408339196337
"DFG2019","Early","Apertus","220","Combined",2225.21502007073,109.940474847341,1780.15727370076,1679.62971046507,1781.2125,445.057746369967,444.002520070727,545.585309605656,5.77,1642.52916666667,6.49,1781.2125,5.77,1642.52916666667,2532.5,2569.73062833328,2883.54183745056,3149.77466816081,307.284979929273
"DFG2019","Early","Apertus","220","Split",2232.34647338651,83.1010313392107,1770.77314689414,1670.50155958031,1781.2125,461.573326492371,451.133973386508,561.844913806197,6.9,1642.52916666667,6.9,1642.52916666667,6.9,1642.52916666667,2532.5,3188.51959563035,3116.48805960555,3880.39354746586,300.153526613492
"DFG2019","Early","Capone","176","Combined",2226.77400677236,102.691656006589,1765.11383641273,1662.80515188986,1781.2125,461.660170359628,445.561506772359,563.968854882495,4.67,1479.59166666667,5.75,1781.2125,4.67,1479.59166666667,2532.5,2157.57503598858,2563.97582290873,2635.35659270043,305.725993227641
"DFG2019","Early","Capone","176","Split",2228.22968982524,96.7340897113029,1769.32558624084,1666.71079089994,1781.2125,458.904103584404,447.017189825245,561.518898925301,6.45,1642.52916666667,7.22,1781.2125,6.45,1642.52916666667,2532.5,2962.45750396766,3230.29170246405,3624.32293388843,304.270310174755
"DFG2019","Early","Capone","220","Combined",2252.5529288187,75.4263916738392,1770.9321709263,1668.76147125844,1781.2125,481.620757892403,471.340428818701,583.791457560263,5.92,1642.52916666667,6.77,1781.2125,5.92,1642.52916666667,2532.5,2855.02202968316,3195.35135202472,3459.87256970689,279.947071181299
"DFG2019","Early","Capone","220","Split",2272.08441927491,37.6119463773125,1765.79203159746,1663.69438190334,1781.2125,506.292387677457,490.871919274913,608.39003737157,7.75,1504.98333333333,7.75,1504.98333333333,7.75,1504.98333333333,2532.5,3935.30677970709,3815.80892590264,4726.53926169347,260.415580725087
"DFG2019","Early","Patras","176","Combined",2197.64321252659,250,1759.60401464174,1657.46987206449,1781.2125,438.039197884853,416.430712526594,540.173340462099,5.35,1312.0125,6.41,1781.2125,5.35,1312.0125,2532.5,2343.81915658085,2669.69162633356,2890.23681930644,334.856787473406
"DFG2019","Early","Patras","176","Split",2196.99185774253,250,1771.74829100072,1669.61209223903,1781.2125,425.243566741813,415.779357742531,527.379765503497,5.7,1379.96666666667,6.42,1781.2125,5.7,1379.96666666667,2532.5,2424.21792474085,2669.67470408752,3006.39425773539,335.508142257469
