"DFG_year","timeid","var","nitrogen","appl","rep","GLA50","S","TT59","TT55","TT61","GCD59","GCD61","GCD55","LAImax59","LAImaxTT59","LAImax61","LAImaxTT61","LAImax55","LAImaxTT55","TT87","LAD59","LAD61","LAD55","GCD87"
"DFG2019","Early","Apertus","176","Combined","1",2197.64321252598,250,1764.12751805916,1663.56357950766,1781.2125,433.515694466814,416.430712525976,534.079633018312,4.51,1642.52916666667,4.51,1642.52916666667,4.51,1642.52916666667,2532.5,1955.41664372399,1878.36337515546,2408.96000654335,334.856787474024
"DFG2019","Early","Apertus","176","Combined","2",2212.18563063227,98.3387663924074,1752.07905172656,1649.3135603341,1781.2125,460.106578905705,430.973130632269,562.872070298173,4.93,1642.52916666667,6.77,1781.2125,4.93,1642.52916666667,2532.5,2270.18054031715,2920.23557308293,2776.81441287716,320.314369367731
"DFG2019","Early","Apertus","176","Combined","3",2204.86075138904,250,1764.12751805916,1663.56357950766,1781.2125,440.73323332988,423.648251389041,541.297171881377,3.97,1312.0125,5.57,1781.2125,3.97,1312.0125,2532.5,1749.94131810409,2360.04399114273,2149.18015416127,327.639248610958
"DFG2019","Early","Apertus","176","Split","1",2144.08978545949,39.4726302888659,1778.77579581582,1678.21583937418,1781.2125,365.313989643674,362.877285459493,465.873946085309,5.4,1642.52916666667,5.4,1642.52916666667,5.4,1642.52916666667,2532.5,1984.57998372678,1971.43026544126,2527.46890645235,388.410214540507
"DFG2019","Early","Apertus","176","Split","2",2212.79425023655,250,1762.24609686637,1661.06308397591,1781.2125,450.548153370173,431.581750236548,551.731166260639,5.81,1642.52916666667,6.38,1781.2125,5.81,1642.52916666667,2532.5,2618.02314248581,2753.86313441715,3205.89644737195,319.705749763452
"DFG2019","Early","Apertus","176","Split","3",2201.32398845271,250,1764.12751805916,1663.56357950766,1781.2125,437.196470393546,420.111488452707,537.760408945043,4.58,1504.98333333333,6.15,1781.2125,4.58,1504.98333333333,2532.5,2002.62518855905,2584.04197013061,2463.20802714246,331.176011547293
"DFG2019","Early","Apertus","220","Combined","1",2219.89312493435,111.513224787013,1776.97820102809,1675.81791406286,1781.2125,442.914923906254,438.680624934348,544.075210871487,5.77,1642.52916666667,5.77,1642.52916666667,5.77,1642.52916666667,2532.5,2557.31356472722,2532.88165965948,3141.00842058902,312.606875065652
"DFG2019","Early","Apertus","220","Combined","2",2232.25267031737,105.413349512218,1776.97820102809,1675.81791406286,1781.2125,455.274469289275,451.040170317368,556.434756254507,5.24,1504.98333333333,6.49,1781.2125,5.24,1504.98333333333,2532.5,2387.36972380253,2929.39525987839,2917.44962749554,300.247329682632
"DFG2019","Early","Apertus","220","Combined","3",2223.53585647963,118.931619938691,1786.61309032862,1687.34750574461,1781.2125,436.922766151011,442.32335647963,536.188350735023,5.19,1781.2125,5.19,1781.2125,4.39,1504.98333333333,2532.5,2268.97128393094,2297.00034773696,2355.00210847714,308.96414352037
"DFG2019","Early","Apertus","220","Split","1",2232.40522843464,82.7403243465221,1769.52633312638,1669.53954452701,1781.2125,462.878895308256,451.19272843464,562.865683907629,6.9,1642.52916666667,6.9,1642.52916666667,6.9,1642.52916666667,2532.5,3197.55986977913,3116.9253188303,3887.46871046807,300.09477156536
"DFG2019","Early","Apertus","220","Split","2",2228.19750628559,96.9238993995258,1764.12751805916,1663.56357950766,1781.2125,464.069988226433,446.985006285594,564.63392677793,5.38,1312.0125,5.59,1781.2125,5.38,1312.0125,2532.5,2498.79526301149,2500.82683052918,3039.82925240207,304.302493714406
"DFG2019","Early","Apertus","220","Split","3",2236.42431282299,72.9954580106814,1778.77579581582,1678.21583937418,1781.2125,457.648517007174,455.211812822994,558.208473448809,5.95,1642.52916666667,6.42,1781.2125,5.95,1642.52916666667,2532.5,2727.09359763448,2926.86743516555,3325.42533062795,296.075687177006
"DFG2019","Early","Capone","176","Combined","1",2228.19588480269,96.9457797877354,1777.82303409974,1676.7509699181,1781.2125,450.37285070295,446.983384802689,551.44491488459,4.67,1479.59166666667,4.67,1479.59166666667,4.67,1479.59166666667,2532.5,2105.0621487871,2089.23334031263,2577.06868705211,304.304115197311
"DFG2019","Early","Capone","176","Combined","2",2228.24599787006,96.6377810158604,1753.09548818588,1650.42295141786,1781.2125,475.150509684188,447.033497870063,577.823046452198,4.15,1642.52916666667,5.75,1781.2125,4.15,1642.52916666667,2532.5,1973.50314189238,2572.69900394087,2399.5941694762,304.254002129937
"DFG2019","Early","Capone","176","Combined","3",2223.55600983148,118.797352908798,1764.79869112033,1661.36440727376,1781.2125,458.757318711153,442.343509831483,562.191602557719,4.62,1312.0125,5.51,1781.2125,4.62,1312.0125,2532.5,2120.65625160858,2438.74085386622,2598.5226427786,308.943990168517
