"DayTime","y","m","d","DailyMean_Temperature","Acc_Temperature","Acc_Percipitation","Acc_Radiation","DailySum_Percipitation","DailySum_Radiation","sowing_date","DFG_year","sowingD","Das","Daily_TQ","Acc_TQ"
2018-10-25,2018,10,25,11.7208333333333,11.7208333333333,1.38,2.67948,1.38,2.67948,"Early","DFG2019",2018-10-25,0,0.228608318521152,0.228608318521152
2018-11-08,2018,11,8,9.725,9.725,0.06,4.31964,0.06,4.31964,"Late","DFG2019",2018-11-08,0,0.444178920308483,0.444178920308483
2019-10-24,2019,10,24,13.7208333333333,13.7208333333333,0.12,6.61104,0.12,6.61104,"Early","DFG2020",2019-10-24,0,0.481824962040694,0.481824962040694
2019-11-13,2019,11,13,4.50416666666667,4.50416666666667,0,2.65932,0,2.65932,"Late","DFG2020",2019-11-13,0,0.590413320999074,0.590413320999074
2020-10-22,2020,10,22,15.8958333333333,15.8958333333333,0.1,6.1578,0.1,6.1578,"Early","DFG2021",2020-10-22,0,0.387384534731325,0.387384534731325
2020-11-05,2020,11,5,5.7375,5.7375,0.09,6.92388,0.09,6.92388,"Late","DFG2021",2020-11-05,0,1.20677647058824,1.20677647058824
2018-10-26,2018,10,26,9.81666666666667,21.5375,4.53,5.69736,3.15,3.01788,"Early","DFG2019",2018-10-25,1,0.307424108658744,0.536032427179896
2018-11-09,2018,11,9,10.0625,19.7875,1.25,8.42724,1.19,4.1076,"Late","DFG2019",2018-11-08,1,0.408208695652174,0.852387615960657
2019-10-25,2019,10,25,14.1958333333333,27.9166666666667,0.12,13.80924,0,7.1982,"Early","DFG2020",2019-10-24,1,0.507064279424715,0.988889241465409
2019-11-14,2019,11,14,5.125,9.62916666666667,0,8.5374,0,5.87808,"Late","DFG2020",2019-11-13,1,1.14694243902439,1.73735576002346
2020-10-23,2020,10,23,12.7125,28.6083333333333,5.18,8.09316,5.08,1.93536,"Early","DFG2021",2020-10-22,1,0.152240707964602,0.539625242695926
2020-11-06,2020,11,6,8.92083333333333,14.6583333333333,0.09,12.6162,0,5.69232,"Late","DFG2021",2020-11-05,1,0.638092853806633,1.84486932439487
2018-10-27,2018,10,27,6.72083333333333,28.2583333333333,4.53,11.43756,0,5.7402,"Early","DFG2019",2018-10-25,2,0.854090514569126,1.39012294174902
2018-11-10,2018,11,10,11.2041666666667,30.9916666666667,1.73,10.2258,0.48,1.79856,"Late","DFG2019",2018-11-08,2,0.160525994793603,1.01291361075426
2019-10-26,2019,10,26,15.7416666666667,43.6583333333333,0.12,21.33936,0,7.53012,"Early","DFG2020",2019-10-24,2,0.478355955532026,1.46724519699743
2019-11-15,2019,11,15,4.64583333333333,14.275,0,9.67536,0,1.13796,"Late","DFG2020",2019-11-13,2,0.244942062780269,1.98229782280373
2020-10-24,2020,10,24,13.5833333333333,42.1916666666667,5.78,12.94236,0.6,4.8492,"Early","DFG2021",2020-10-22,2,0.356996319018406,0.896621561714332
2020-11-07,2020,11,7,7.62916666666667,22.2875,0.09,19.39896,0,6.78276,"Late","DFG2021",2020-11-05,2,0.889056471873293,2.73392579626816
2018-10-28,2018,10,28,3.7625,32.0208333333333,4.53,14.93316,0,3.4956,"Early","DFG2019",2018-10-25,3,0.929063122923588,2.31918606467261
2018-11-11,2018,11,11,12.6541666666667,43.6458333333333,2.07,13.55688,0.34,3.33108,"Late","DFG2019",2018-11-08,3,0.26323977609483,1.27615338684909
