"timeid","DFG_year","plot_id","var","rep","nitrogen","appl","TT","trait","group","g","trt","part","BBCH","Trait","Das","Acc_Radiation","namCombine"
"Early","DFG2019",1,"Pionier","1","220","Combined",1197.65,"LAI","2019-05-02","Combined_220_Early","Combined 220",NA,NA,3.54,189,1189.29348,"LAI"
"Early","DFG2019",8,"Patras","1","176","Split",1197.65,"LAI","2019-05-02","Split_176_Early","Split 176",NA,NA,2.88,189,1189.29348,"LAI"
"Early","DFG2019",7,"Capone","1","176","Split",1197.65,"LAI","2019-05-02","Split_176_Early","Split 176",NA,NA,2.91,189,1189.29348,"LAI"
"Early","DFG2019",4,"Patras","1","220","Combined",1197.65,"LAI","2019-05-02","Combined_220_Early","Combined 220",NA,NA,2.41,189,1189.29348,"LAI"
"Early","DFG2019",83,"Patras","3","176","Split",1197.65,"LAI","2019-05-02","Split_176_Early","Split 176",NA,NA,2.14,189,1189.29348,"LAI"
"Early","DFG2019",73,"Capone","3","220","Combined",1197.65,"LAI","2019-05-02","Combined_220_Early","Combined 220",NA,NA,2.76,189,1189.29348,"LAI"
"Early","DFG2019",28,"Pionier","1","176","Combined",1197.65,"LAI","2019-05-02","Combined_176_Early","Combined 176",NA,NA,2.77,189,1189.29348,"LAI"
"Early","DFG2019",53,"Apertus","2","176","Combined",1197.65,"LAI","2019-05-02","Combined_176_Early","Combined 176",NA,NA,2.74,189,1189.29348,"LAI"
"Early","DFG2019",27,"Apertus","1","176","Combined",1197.65,"LAI","2019-05-02","Combined_176_Early","Combined 176",NA,NA,2.63,189,1189.29348,"LAI"
"Early","DFG2019",81,"Apertus","3","176","Split",1197.65,"LAI","2019-05-02","Split_176_Early","Split 176",NA,NA,2.33,189,1189.29348,"LAI"
"Early","DFG2019",91,"Capone","3","220","Split",1197.65,"LAI","2019-05-02","Split_220_Early","Split 220",NA,NA,2.62,189,1189.29348,"LAI"
"Early","DFG2019",30,"Patras","1","220","Split",1197.65,"LAI","2019-05-02","Split_220_Early","Split 220",NA,NA,3.37,189,1189.29348,"LAI"
"Early","DFG2019",90,"Apertus","3","220","Split",1197.65,"LAI","2019-05-02","Split_220_Early","Split 220",NA,NA,3.28,189,1189.29348,"LAI"
"Early","DFG2019",75,"Pionier","3","220","Combined",1197.65,"LAI","2019-05-02","Combined_220_Early","Combined 220",NA,NA,2.6,189,1189.29348,"LAI"
"Early","DFG2019",40,"Apertus","2","176","Split",1197.65,"LAI","2019-05-02","Split_176_Early","Split 176",NA,NA,3.1,189,1189.29348,"LAI"
"Early","DFG2019",74,"Patras","3","220","Combined",1197.65,"LAI","2019-05-02","Combined_220_Early","Combined 220",NA,NA,2.37,189,1189.29348,"LAI"
"Early","DFG2019",84,"Capone","3","176","Split",1197.65,"LAI","2019-05-02","Split_176_Early","Split 176",NA,NA,2.41,189,1189.29348,"LAI"
"Early","DFG2019",29,"Apertus","1","220","Split",1197.65,"LAI","2019-05-02","Split_220_Early","Split 220",NA,NA,2.9,189,1189.29348,"LAI"
"Early","DFG2019",54,"Patras","2","176","Combined",1197.65,"LAI","2019-05-02","Combined_176_Early","Combined 176",NA,NA,2.49,189,1189.29348,"LAI"
"Early","DFG2019",6,"Pionier","1","176","Split",1197.65,"LAI","2019-05-02","Split_176_Early","Split 176",NA,NA,3.64,189,1189.29348,"LAI"
"Early","DFG2019",82,"Pionier","3","176","Split",1197.65,"LAI","2019-05-02","Split_176_Early","Split 176",NA,NA,2.96,189,1189.29348,"LAI"
"Early","DFG2019",92,"Patras","3","220","Split",1197.65,"LAI","2019-05-02","Split_220_Early","Split 220",NA,NA,2.8,189,1189.29348,"LAI"
"Early","DFG2019",39,"Patras","2","176","Split",1197.65,"LAI","2019-05-02","Split_176_Early","Split 176",NA,NA,2.94,189,1189.29348,"LAI"
"Early","DFG2019",52,"Patras","2","220","Combined",1197.65,"LAI","2019-05-02","Combined_220_Early","Combined 220",NA,NA,2.64,189,1189.29348,"LAI"
"Early","DFG2019",76,"Apertus","3","220","Combined",1197.65,"LAI","2019-05-02","Combined_220_Early","Combined 220",NA,NA,1.94,189,1189.29348,"LAI"
"Early","DFG2019",51,"Capone","2","220","Combined",1197.65,"LAI","2019-05-02","Combined_220_Early","Combined 220",NA,NA,2.11,189,1189.29348,"LAI"
"Early","DFG2019",37,"Pionier","2","176","Split",1197.65,"LAI","2019-05-02","Split_176_Early","Split 176",NA,NA,3.83,189,1189.29348,"LAI"
"Early","DFG2019",25,"Capone","1","176","Combined",1197.65,"LAI","2019-05-02","Combined_176_Early","Combined 176",NA,NA,2.72,189,1189.29348,"LAI"
"Early","DFG2019",2,"Capone","1","220","Combined",1197.65,"LAI","2019-05-02","Combined_220_Early","Combined 220",NA,NA,2.7,189,1189.29348,"LAI"
"Early","DFG2019",45,"Pionier","2","220","Split",1197.65,"LAI","2019-05-02","Split_220_Early","Split 220",NA,NA,3.34,189,1189.29348,"LAI"
"Early","DFG2019",66,"Apertus","3","176","Combined",1197.65,"LAI","2019-05-02","Combined_176_Early","Combined 176",NA,NA,2.69,189,1189.29348,"LAI"
"Early","DFG2019",89,"Pionier","3","220","Split",1197.65,"LAI","2019-05-02","Split_220_Early","Split 220",NA,NA,2.78,189,1189.29348,"LAI"
"Early","DFG2019",65,"Pionier","3","176","Combined",1197.65,"LAI","2019-05-02","Combined_176_Early","Combined 176",NA,NA,2.29,189,1189.29348,"LAI"
"Early","DFG2019",38,"Capone","2","176","Split",1197.65,"LAI","2019-05-02","Split_176_Early","Split 176",NA,NA,3.25,189,1189.29348,"LAI"
