"Year","Climate","value","B","timeid","var","appl","nitrogen","rep"
"2019","Acc_Temperature",145.1875,"sowing
09","Early","Capone","Combined",176,1
"2019","Acc_Percipitation",7,"sowing
09","Early","Capone","Combined",176,1
"2019","Acc_Radiation",67.09824,"sowing
09","Early","Capone","Combined",176,1
"2019","Das",16,"sowing
09","Early","Capone","Combined",176,1
"2019","Acc_TQ",8.5732265256333,"sowing
09","Early","Capone","Combined",176,1
"2019","Acc_Temperature",145.1875,"sowing
09","Early","Capone","Split",176,3
"2019","Acc_Percipitation",7,"sowing
09","Early","Capone","Split",176,3
"2019","Acc_Radiation",67.09824,"sowing
09","Early","Capone","Split",176,3
"2019","Das",16,"sowing
09","Early","Capone","Split",176,3
"2019","Acc_TQ",8.5732265256333,"sowing
09","Early","Capone","Split",176,3
"2019","Acc_Temperature",145.1875,"sowing
09","Early","Apertus","Combined",220,3
"2019","Acc_Percipitation",7,"sowing
09","Early","Apertus","Combined",220,3
"2019","Acc_Radiation",67.09824,"sowing
09","Early","Apertus","Combined",220,3
"2019","Das",16,"sowing
09","Early","Apertus","Combined",220,3
"2019","Acc_TQ",8.5732265256333,"sowing
09","Early","Apertus","Combined",220,3
"2019","Acc_Temperature",145.1875,"sowing
09","Early","Capone","Combined",220,1
"2019","Acc_Percipitation",7,"sowing
09","Early","Capone","Combined",220,1
"2019","Acc_Radiation",67.09824,"sowing
09","Early","Capone","Combined",220,1
"2019","Das",16,"sowing
09","Early","Capone","Combined",220,1
"2019","Acc_TQ",8.5732265256333,"sowing
09","Early","Capone","Combined",220,1
"2019","Acc_Temperature",145.1875,"sowing
09","Early","Capone","Split",176,1
"2019","Acc_Percipitation",7,"sowing
09","Early","Capone","Split",176,1
"2019","Acc_Radiation",67.09824,"sowing
09","Early","Capone","Split",176,1
"2019","Das",16,"sowing
09","Early","Capone","Split",176,1
"2019","Acc_TQ",8.5732265256333,"sowing
09","Early","Capone","Split",176,1
"2019","Acc_Temperature",145.1875,"sowing
09","Early","Capone","Split",220,3
"2019","Acc_Percipitation",7,"sowing
09","Early","Capone","Split",220,3
"2019","Acc_Radiation",67.09824,"sowing
09","Early","Capone","Split",220,3
"2019","Das",16,"sowing
09","Early","Capone","Split",220,3
"2019","Acc_TQ",8.5732265256333,"sowing
09","Early","Capone","Split",220,3
"2019","Acc_Temperature",145.1875,"sowing
09","Early","Capone","Split",220,1
"2019","Acc_Percipitation",7,"sowing
09","Early","Capone","Split",220,1
"2019","Acc_Radiation",67.09824,"sowing
09","Early","Capone","Split",220,1
"2019","Das",16,"sowing
09","Early","Capone","Split",220,1
"2019","Acc_TQ",8.5732265256333,"sowing
09","Early","Capone","Split",220,1
"2019","Acc_Temperature",145.1875,"sowing
09","Early","Capone","Combined",220,3
"2019","Acc_Percipitation",7,"sowing
09","Early","Capone","Combined",220,3
"2019","Acc_Radiation",67.09824,"sowing
09","Early","Capone","Combined",220,3
"2019","Das",16,"sowing
09","Early","Capone","Combined",220,3
"2019","Acc_TQ",8.5732265256333,"sowing
09","Early","Capone","Combined",220,3
"2019","Acc_Temperature",145.1875,"sowing
09","Early","Capone","Combined",220,2
"2019","Acc_Percipitation",7,"sowing
09","Early","Capone","Combined",220,2
"2019","Acc_Radiation",67.09824,"sowing
09","Early","Capone","Combined",220,2
"2019","Das",16,"sowing
09","Early","Capone","Combined",220,2
