"Genotype","value","SI_name","SI_value","Trait"
"Alves",0.478711874927524,"Genotypic superiority measure",0.0335380477824845,"HI"
"Alves",0.478711874927524,"Ecovalence",0.0606162707709259,"HI"
"Apertus",0.4792602515709,"Genotypic superiority measure",0.0342359844442296,"HI"
"Apertus",0.4792602515709,"Ecovalence",0.0784122876101512,"HI"
"Capone",0.504450786904523,"Genotypic superiority measure",0.0129266781973701,"HI"
"Capone",0.504450786904523,"Ecovalence",0.0598420770049131,"HI"
"Esket",0.480796362244514,"Genotypic superiority measure",0.0305579542145161,"HI"
"Esket",0.480796362244514,"Ecovalence",0.0389569341172918,"HI"
"Patras",0.509725107970436,"Genotypic superiority measure",0.011348519482206,"HI"
"Patras",0.509725107970436,"Ecovalence",0.0940963994386298,"HI"
"Pionier",0.465177555709975,"Genotypic superiority measure",0.0409603011803042,"HI"
"Pionier",0.465177555709975,"Ecovalence",0.0455081129313124,"HI"
"Potenzial",0.484578921195682,"Genotypic superiority measure",0.0304135179181552,"HI"
"Potenzial",0.484578921195682,"Ecovalence",0.065095287550199,"HI"
"Torrild",0.474102825969024,"Genotypic superiority measure",0.0358965891554552,"HI"
"Torrild",0.474102825969024,"Ecovalence",0.0628546481539619,"HI"
"Alves",6.08958333333333,"Genotypic superiority measure",0.431808213601055,"grain_length"
"Alves",6.08958333333333,"Ecovalence",0.169443021396575,"grain_length"
"Apertus",6.65416666666667,"Genotypic superiority measure",0.0467707173346755,"grain_length"
"Apertus",6.65416666666667,"Ecovalence",0.219522445701276,"grain_length"
"Capone",6.61875,"Genotypic superiority measure",0.0824957911384313,"grain_length"
"Capone",6.61875,"Ecovalence",0.295855339557098,"grain_length"
"Esket",5.66875,"Genotypic superiority measure",0.728106371960093,"grain_length"
"Esket",5.66875,"Ecovalence",0.0835154260534477,"grain_length"
"Patras",6.65416666666667,"Genotypic superiority measure",0.0395284707521059,"grain_length"
"Patras",6.65416666666667,"Ecovalence",0.100670495236248,"grain_length"
"Pionier",6.23333333333333,"Genotypic superiority measure",0.330140963159006,"grain_length"
"Pionier",6.23333333333333,"Ecovalence",0.151138618309296,"grain_length"
"Potenzial",6.19791666666667,"Genotypic superiority measure",0.354729944229881,"grain_length"
"Potenzial",6.19791666666667,"Ecovalence",0.107831369121729,"grain_length"
"Torrild",6.1875,"Genotypic superiority measure",0.362428153799711,"grain_length"
"Torrild",6.1875,"Ecovalence",0.175185913151335,"grain_length"
"Alves",3.45208333333333,"Genotypic superiority measure",0.149999999999999,"grain_width"
"Alves",3.45208333333333,"Ecovalence",0.107241088402098,"grain_width"
"Apertus",3.61458333333333,"Genotypic superiority measure",0.0408248290463866,"grain_width"
"Apertus",3.61458333333333,"Ecovalence",0.117883350711624,"grain_width"
"Capone",3.52083333333333,"Genotypic superiority measure",0.103916365944499,"grain_width"
"Capone",3.52083333333333,"Ecovalence",0.109721672818598,"grain_width"
"Esket",3.41458333333333,"Genotypic superiority measure",0.175396376498743,"grain_width"
"Esket",3.41458333333333,"Ecovalence",0.101416829293213,"grain_width"
"Patras",3.66041666666667,"Genotypic superiority measure",0,"grain_width"
"Patras",3.66041666666667,"Ecovalence",0.104286389532224,"grain_width"
"Pionier",3.40833333333333,"Genotypic superiority measure",0.18056623900017,"grain_width"
"Pionier",3.40833333333333,"Ecovalence",0.0785543756295934,"grain_width"
"Potenzial",3.3875,"Genotypic superiority measure",0.196585435201423,"grain_width"
"Potenzial",3.3875,"Ecovalence",0.157532927554493,"grain_width"
"Torrild",3.56458333333333,"Genotypic superiority measure",0.075,"grain_width"
"Torrild",3.56458333333333,"Ecovalence",0.156814950879831,"grain_width"
"Alves",2.92021873539891,"Genotypic superiority measure",1.28559291368711,"mobile61_DM"
"Alves",2.92021873539891,"Ecovalence",5.42471674003636,"mobile61_DM"
"Apertus",1.82843749085781,"Genotypic superiority measure",2.10407267158035,"mobile61_DM"
"Apertus",1.82843749085781,"Ecovalence",4.08208985153704,"mobile61_DM"
"Capone",1.40996874295016,"Genotypic superiority measure",2.0978626928054,"mobile61_DM"
"Capone",1.40996874295016,"Ecovalence",2.8863088639469,"mobile61_DM"
"Esket",2.23862498880688,"Genotypic superiority measure",1.86371317568,"mobile61_DM"
"Esket",2.23862498880688,"Ecovalence",5.40128433450485,"mobile61_DM"
"Patras",2.23974998880125,"Genotypic superiority measure",1.8326601113139,"mobile61_DM"
"Patras",2.23974998880125,"Ecovalence",4.21495338215596,"mobile61_DM"
"Pionier",1.31134374344328,"Genotypic superiority measure",2.38649892413997,"mobile61_DM"
"Pionier",1.31134374344328,"Ecovalence",3.98146191371786,"mobile61_DM"
"Potenzial",1.78262499108687,"Genotypic superiority measure",2.00480666121948,"mobile61_DM"
"Potenzial",1.78262499108687,"Ecovalence",3.57716378587076,"mobile61_DM"
"Torrild",2.32240623838797,"Genotypic superiority measure",1.71636467258299,"mobile61_DM"
"Torrild",2.32240623838797,"Ecovalence",6.68537927313876,"mobile61_DM"
"Alves",0.289266049925186,"Genotypic superiority measure",0.152508563253788,"mobile61_DM_rel"
"Alves",0.289266049925186,"Ecovalence",0.579352245461976,"mobile61_DM_rel"
"Apertus",0.17079306645189,"Genotypic superiority measure",0.234377912964051,"mobile61_DM_rel"
