"treatment","Trait","groups","combi","trait","Year","part","BBCH","group"
"Apertus",65.1573872659735,"a","var","CEDM","DFG2019",NA,"61_87","biomass"
"Patras",53.0518928065423,"ab","var","CEDM","DFG2019",NA,"61_87","biomass"
"Capone",46.95967029765,"ab","var","CEDM","DFG2019",NA,"61_87","biomass"
"Pionier",42.0969761356782,"b","var","CEDM","DFG2019",NA,"61_87","biomass"
"220_Late_Apertus",99.6058005310631,"a","nitrogen:timeid:var","CEN","DFG2019",NA,"61_87","nitrogen"
"220_Late_Pionier",90.5830627846527,"ab","nitrogen:timeid:var","CEN","DFG2019",NA,"61_87","nitrogen"
"176_Early_Capone",87.7850371359386,"abc","nitrogen:timeid:var","CEN","DFG2019",NA,"61_87","nitrogen"
"220_Early_Patras",85.8894813513981,"abc","nitrogen:timeid:var","CEN","DFG2019",NA,"61_87","nitrogen"
"176_Late_Apertus",84.6545184899709,"abc","nitrogen:timeid:var","CEN","DFG2019",NA,"61_87","nitrogen"
"220_Late_Capone",83.9883570543951,"abc","nitrogen:timeid:var","CEN","DFG2019",NA,"61_87","nitrogen"
"176_Early_Patras",81.2664394590461,"abc","nitrogen:timeid:var","CEN","DFG2019",NA,"61_87","nitrogen"
"220_Early_Apertus",79.3756234011741,"abc","nitrogen:timeid:var","CEN","DFG2019",NA,"61_87","nitrogen"
"176_Early_Pionier",78.0106496983638,"abc","nitrogen:timeid:var","CEN","DFG2019",NA,"61_87","nitrogen"
"176_Late_Capone",77.8106208345732,"abc","nitrogen:timeid:var","CEN","DFG2019",NA,"61_87","nitrogen"
"220_Late_Patras",73.4754778777676,"abc","nitrogen:timeid:var","CEN","DFG2019",NA,"61_87","nitrogen"
"176_Late_Pionier",72.9316313134401,"abc","nitrogen:timeid:var","CEN","DFG2019",NA,"61_87","nitrogen"
"176_Late_Patras",69.3994116315435,"bc","nitrogen:timeid:var","CEN","DFG2019",NA,"61_87","nitrogen"
"176_Early_Apertus",68.3271144080932,"bc","nitrogen:timeid:var","CEN","DFG2019",NA,"61_87","nitrogen"
"220_Early_Pionier",65.3341070260419,"bc","nitrogen:timeid:var","CEN","DFG2019",NA,"61_87","nitrogen"
"220_Early_Capone",59.803276801874,"c","nitrogen:timeid:var","CEN","DFG2019",NA,"61_87","nitrogen"
"Split",0.00351891696286084,"a","appl","CGR_tt_23_31","DFG2019","all","23_31",NA
"Combined",0.00302268243064594,"b","appl","CGR_tt_23_31","DFG2019","all","23_31",NA
"Early",0.0158416800929535,"a","timeid","CGR_tt_31_41","DFG2019","all","31_41",NA
"Late",0.0134347351808404,"b","timeid","CGR_tt_31_41","DFG2019","all","31_41",NA
"Apertus",0.0155477031024735,"a","var","CGR_tt_31_41","DFG2019","all","31_41",NA
"Patras",0.014959616280578,"a","var","CGR_tt_31_41","DFG2019","all","31_41",NA
"Pionier",0.0144971969837589,"ab","var","CGR_tt_31_41","DFG2019","all","31_41",NA
"Capone",0.0135483141807773,"b","var","CGR_tt_31_41","DFG2019","all","31_41",NA
