"treatment","Trait","groups","combi","trait","BBCH","Year"
"Capone",98.4091666666667,"a","var","Acc_Percipitation","09
13",2019
"Apertus",97.5825,"a","var","Acc_Percipitation","09
13",2019
"Pionier",96.70875,"a","var","Acc_Percipitation","09
13",2019
"Patras",94.4291666666667,"b","var","Acc_Percipitation","09
13",2019
"Late_Capone",111.263333333333,"a","timeid:var","Acc_Percipitation","09
13",2019
"Late_Apertus",109.836666666667,"a","timeid:var","Acc_Percipitation","09
13",2019
"Late_Pionier",108.3775,"ab","timeid:var","Acc_Percipitation","09
13",2019
"Late_Patras",105.118333333333,"b","timeid:var","Acc_Percipitation","09
13",2019
"Early_Capone",85.555,"c","timeid:var","Acc_Percipitation","09
13",2019
"Early_Apertus",85.3283333333333,"c","timeid:var","Acc_Percipitation","09
13",2019
"Early_Pionier",85.04,"c","timeid:var","Acc_Percipitation","09
13",2019
"Early_Patras",83.74,"c","timeid:var","Acc_Percipitation","09
13",2019
"Capone",44.28875,"a","var","Acc_Percipitation","23
31",2019
"Apertus",41.8833333333333,"ab","var","Acc_Percipitation","23
31",2019
"Pionier",40.9425,"ab","var","Acc_Percipitation","23
31",2019
"Patras",31.5525,"b","var","Acc_Percipitation","23
31",2019
"Apertus",216.605,"a","var","Acc_Percipitation","31",2019
"Pionier",215.8525,"a","var","Acc_Percipitation","31",2019
"Capone",215.565,"a","var","Acc_Percipitation","31",2019
"Patras",209.1375,"b","var","Acc_Percipitation","31",2019
"Late_Capone",221.73,"a","timeid:var","Acc_Percipitation","31",2019
"Late_Pionier",220.34,"ab","timeid:var","Acc_Percipitation","31",2019
"Late_Apertus",220.225,"ab","timeid:var","Acc_Percipitation","31",2019
"Early_Apertus",212.985,"abc","timeid:var","Acc_Percipitation","31",2019
"Early_Pionier",211.365,"bc","timeid:var","Acc_Percipitation","31",2019
"Early_Capone",209.4,"c","timeid:var","Acc_Percipitation","31",2019
"Early_Patras",209.285,"c","timeid:var","Acc_Percipitation","31",2019
"Late_Patras",208.99,"c","timeid:var","Acc_Percipitation","31",2019
"Patras",37.9175,"a","var","Acc_Percipitation","31
41",2019
"Capone",31.49,"b","var","Acc_Percipitation","31
41",2019
"Pionier",31.2025,"b","var","Acc_Percipitation","31
41",2019
"Apertus",30.45,"b","var","Acc_Percipitation","31
41",2019
"Early_Patras",40.405,"a","timeid:var","Acc_Percipitation","31
41",2019
"Early_Capone",40.29,"a","timeid:var","Acc_Percipitation","31
41",2019
"Early_Pionier",38.325,"a","timeid:var","Acc_Percipitation","31
41",2019
"Early_Apertus",36.705,"a","timeid:var","Acc_Percipitation","31
41",2019
"Late_Patras",35.43,"a","timeid:var","Acc_Percipitation","31
41",2019
"Late_Apertus",24.195,"b","timeid:var","Acc_Percipitation","31
41",2019
"Late_Pionier",24.08,"b","timeid:var","Acc_Percipitation","31
41",2019
"Late_Capone",22.69,"b","timeid:var","Acc_Percipitation","31
41",2019
"Patras",82.3475,"a","var","Acc_Percipitation","31
61",2019
"Capone",75.92,"b","var","Acc_Percipitation","31
61",2019
"Pionier",75.6325,"b","var","Acc_Percipitation","31
61",2019
"Apertus",74.88,"b","var","Acc_Percipitation","31
61",2019
